英文名稱,中文名稱,生歿年,國籍,專長
"Barnett, John Manley","巴內特,約翰,曼利",1917-,美國,指揮
"Barns, Ethel",班絲,1880-1948,英國,作曲；小提琴
"Baron, Samuel",巴倫,1925-,美國,長笛；指揮
"Barraine, Elsa",巴瑞內,1910-1999,法國,作曲
"Barraqu?, Jean",巴拉凱,1928-1973,法國,作曲
"Barraud, Henry",巴洛,1900-1997,法國,作曲
"Barrere, Georges",巴瑞爾,1876-1944,美國,長笛
"Barrientos, Maria",巴蓮多絲,1883-1946,西班牙,聲樂
"Barrington, Rutland",巴林頓,1853-1922,英國,聲樂
"Barrios Mangor?, August?n","巴里歐斯,奧古斯丁",1885-1944,巴拉圭,吉他；作曲
"Barrios, Angel","巴里歐斯,安赫爾",1882-1964,西班牙,作曲；吉它；小提琴
"Barry, Gerald","白瑞,傑拉德",1952-,愛爾蘭,作曲
"Barry, John","白瑞,約翰",1933-,英國,作曲
"Barsanti, Francesco",巴爾桑悌,1690-1760,義大利,長笛；雙簧管
"Barshai, Rudolf Borisovich",巴夏,1924-2010,俄國,小提琴；指揮
"Barsova, Valeriya Vladimirovna",巴爾索娃,1892-1967,俄國,聲樂
"Barstow, Josephine",巴絲桃,1940-,英國,聲樂
"Barth, Christian Samuel","巴爾特,克里斯坦薩姆爾",1735-1809,德國,雙簧管
"Barth, Hans","巴爾特,漢斯",1897-1956,德國,鋼琴；作曲
"Barth, Richard","巴爾特,理查",1850-1923,德國,小提琴
"Barthelemon, Francois-Hippolyte",巴特勒蒙,1741-1808,法國,小提琴；作曲
"Bartlett, Ethel",巴特莉特,1896-1978,英國,鋼琴
"Bart?k, B?la",巴爾托克,1881-1945,匈牙利,作曲；鋼琴
"Bartoletti, Bruno",巴爾托雷第,1926-,義大利,指揮
"Bartolomeo, Campagnoli",康帕紐利,1751-1827,義大利,小提琴；指揮；作曲
"Bartolozzi, Bruno",巴爾托洛齊,1911-1980,義大利,小提琴；作曲
"Barwahser, Hubert",巴爾瓦瑟,1906-2005,荷蘭,長笛
"Barylli, Walter",巴瑞利,1921-,奧地利,小提琴
"Barzin, Leon",巴爾贊,1900-1999,美國,指揮
"Barzun, Jacques",巴爾贊,1907-,美國,音樂史
"Basegmezler, Nejat",巴瑟梅茲勒,1950-,土耳其,作曲
"Bass, Randol Alan",巴斯,1953-,美國,作曲
"Bassani, Giovanni Battista",巴薩尼,1657-1716,義大利,小提琴；作曲
"Bassi, Carolina","巴錫,卡洛琳娜",1781-1862,義大利,聲樂
"Bassi, Luigi","巴錫,路易吉",1766-1825,義大利,聲樂
"Bastianini, Ettore",巴斯提阿尼尼,1922-1967,義大利,聲樂
"Bate, Stanley",貝特,1913-1959,英國,作曲；鋼琴
"Bath, Hubert",巴茲,1883-1945,英國,作曲
"B?thory-Kitsz, Dennis",巴托利奇茲,1949-,美國,作曲
"Batiste, Antoine",巴悌斯特,1820-1876,法國,管風琴；作曲
"Batka, Richard",巴特卡,1868-1922,捷克,音樂學
"Batterham, Andrew",巴特罕,1968-,澳大利亞,作曲
"Battishill, Jonathan",巴替希爾,1738-1801,英國,管風琴
"Battistini, Mattia",巴提斯替尼,1856-1928,義大利,聲樂
"Batton, Desire-Alexandre",巴通,1798-1855,法國,作曲
"Baudo, Serge",玻多,1927-,法國,指揮
"Baudrier, Yves",玻德里耶,1906-1988,法國,作曲
"Bauer, Harold","包爾,哈洛德",1873-1951,英國,鋼琴
"Bauer, Marion","包爾,瑪蓉",1887-1955,美國,作曲；著作
"Bauld, Alison",包爾德,1944-,澳大利亞,作曲
"Baumann, Herman",包曼,1934-,德國,圓號；法國號
"Baur, Jurg",鮑爾,1918-,德國,作曲
"Bautista, Julian",包迪斯達,1901-1961,西班牙,作曲
"Bax, Arnold",巴克斯,1883-1953,英國,作曲
"Bayle, Fran?ois",貝勒,1932-,法國,作曲
"Bayliss, Colin",貝利斯,1948-,英國,作曲
"Bazelon, Irwin",貝茲隆,1922-1995,美國,作曲
"Bazzini, Antonio",巴齊尼,1818-1897,義大利,小提琴；作曲
"Beach, Amy Marcy Cheney",畢琦,1867-1944,美國,鋼琴；作曲
"Beach, John Parsons",畢奇,1877-1953,美國,作曲
"Beamish, Sally",畢蜜希,1956-,英國,作曲
"Bean, Hugh",畢安,1929-2003,英國,小提琴
"Beard, John","比爾德,約翰",1717-1791,英國,男高音
"Beard, Paul","比爾德,保羅",1901-1989,英國,小提琴
"Bechet, Sidney",比切特,1897-1959,美國,爵士樂薩氏管
"Beck, Conrad","貝克,康拉德",1901-1989,瑞士,作曲
"Beck, Franz Ignaz","貝克,弗朗茲",1734-1809,德國,作曲
"Beck, Hermann","貝克,赫爾曼",1929-,德國,音樂學
"Beck, Johann H.","貝克,約翰",1856-1924,美國,作曲；指揮；小提琴
"Beck, Karl","貝克,卡爾",1814-1879,奧地利,聲樂
"Becker, G?nther Hugo","貝克爾,根特",1924-,德國,作曲
"Becker, Hugo","貝克爾,胡果",1863-1941,德國,大提琴
"Becker, John Joseph","貝克爾,約翰",1886-1961,美國,作曲
"Becker, Reinhold","貝克爾,萊因厚德",1842-1924,德國,作曲；小提琴；指揮
"Beckett, Brian","貝克特,布萊恩",1950-,愛爾蘭,作曲
"Beckett, Walter","貝克特,華爾特",1914-1996,愛爾蘭,作曲
"Beckmann[Reed], Judith",貝克曼[里德],1935-,美國,聲樂
"Beckwith, John",貝克維思,1927-,加拿大,作曲；鋼琴
"Bedford, David","貝德福特,大衛",1937-,英國,作曲
"Bedford, Herbert","貝德福特,赫伯特",1867-1945,英國,作曲
"Bedford, Steuart","貝德福特,史都華",1939-,英國,指揮；鋼琴
"Beecham, Thomas",畢勤,1879-1961,英國,指揮
"Beecke, Ignaz von",貝可,1733-1803,德國,作曲
"Beeckmans, Laurent",貝克曼斯,1967-,比利時,作曲
"Beeson, Jack",畢森,1921-,美國,作曲
"Beethoven, Ludwig van",貝多芬,1770-1827,德國,作曲
"Beets, Sonja",畢慈,1953-,荷蘭,作曲
"Beglarian, Grant",貝格拉里安,1927-,美國,作曲
"Behrend, Arthur Henry",貝倫德,1854-1936,美國,作曲
"Behrens, Hildegard",貝倫絲,1937-2009,德國,聲樂
"Beiderbecke, Bix",貝德貝克,1903-1931,美國,小號；作曲
"Beier, Franz",拜耶爾,1857-1914,德國,作曲
"Beinum, Eduard van",范拜農,1901-1959,荷蘭,指揮
Bekku Sadao,別宮貞雄,1922-,日本,作曲
"Belaubre, Louis-No?l",玻勒伯爾,1932-,法國,作曲
"Belcastro, Luca",貝爾卡斯特羅,1964-,義大利,作曲
"Belcke, Christian Gottlieb","貝爾凱,克里斯提安",1796-1875,德國,長笛
"Belcke, Friedrich August","貝爾克,弗里德利希‧奧古斯特",1795-1874,德國,作曲；長號
"Belden, George R.",貝爾登,1939-,美國,作曲
"Bell, Derek F.","貝爾,德瑞克",1935-2002,北愛爾蘭,作曲
"Bell, William Henry","貝爾,威廉",1873-1946,英國,作曲
"Bellaigue, Camille",貝列格,1858-1930,法國,樂評
"Belletti, Giovanni Battista",貝雷悌,1813-1890,義大利,聲樂
"Bellezza, Vincenzo",貝雷查,1888-1964,義大利,指揮
"Bellincioni, Gemma[Cesira Matilde]",貝琳裘妮,1864-1950,義大利,聲樂
"Bellini, Vincenzo",貝利尼,1801-1835,義大利,作曲
"Bellman, Carl Michael",貝爾曼,1740-1795,瑞典,作曲
"Belloc, Enrique",貝悠,1936-,阿根廷,作曲
"Belloni, Luca",貝羅尼,1969-,義大利,作曲
Belohlavek Ji??,貝洛哈維克,1946-,捷克,指揮
"Bemberg, Hemann-Emmanuel",班貝格,1859-1931,法國,作曲
"Ben-Haim, Paul",本海姆,1897-1984,以色列,作曲；指揮
"Benda, Ji?? Anton?n",邊達,1722-1795,捷克,作曲
"Bender, Paul",班德爾,1875-1947,德國,聲樂
"Bendix, Victor",班迪克斯,1851-1926,丹麥,指揮；作曲
"Bendl, Karl",班鐸,1838-1897,捷克,作曲
"Benedict, Julius",貝乃迪克特,1804-1885,英國,作曲；指揮
"Benelli, Ugo",貝內利,1935-,義大利,男高音
"Benjamin, Arthur","班傑明,阿瑟",1893-1960,澳大利亞,作曲
"Benjamin, George","班傑明,喬治",1960-,英國,作曲
"Bennett, Joseph","班內特,約瑟夫",1831-1911,英國,管風琴
"Bennett, Joseph","班內特,約瑟夫",1831-1911,英國,音樂著作
"Bennett, Richard Rodney","班內特,理查",1936-2012,英國,作曲；鋼琴
"Bennett, Robert Russell","班內特,羅伯特",1894-1981,美國,作曲
"Bennett, William Sterndale","班內特,威廉‧史坦岱爾",1816-1875,英國,鋼琴；作曲
"Benoist, Fran?ois",伯諾瓦司特,1794-1878,法國,作曲；管風琴
"Benoit, Peter",貝諾瓦,1834-1901,比利時,作曲
"Benoliel, Bernard",班諾利爾,1943-,美國,作曲
"Bent, Ian Davied",班特,1938-,英國,音樂學
"Bentzon, Niels",班宗,1919-2000,丹麥,作曲；鋼琴
"Berberian, Cathy",貝伯蓮,1925-1983,美國,聲樂
"Berezovsky, Nikolay",貝瑞佐夫斯基,1900-1953,美國,小提琴
"Berg, Alban","貝爾格,阿班",1885-1935,奧地利,作曲
"Berg, Natana?l","貝爾格,那坦奈",1879-1957,瑞典,作曲
"Berganza, Teresa",貝爾岡札,1935-2005,西班牙,聲樂
"Berger, Arthur","貝格爾,阿瑟",1912-2003,美國,作曲；音樂著作
"Berger, Erna","貝格爾,艾娜",1900-1990,德國,聲樂
"Berger, Francesco","貝格爾,弗朗西斯科",1834-1933,英國,鋼琴；作曲
"Berger, Jean","貝格爾,珍",1909-2002,美國,作曲
"Berger, Ludwig","貝格爾,路德維希",1777-1838,德國,作曲
"Berger, Theodor","貝格爾,狄奧多",1905-1992,奧地利,作曲
"Bergh, Sverre",貝爾赫,1915-1980,挪威,作曲
"Berglund, Joel[Ingemar]","貝格倫德,喬爾",1903-1985,瑞典,聲樂
"Berglund, Paavo","貝格倫德,帕沃",1929-,芬蘭,指揮
"Bergman, Erik","貝爾格曼,艾瑞克",1911-2006,芬蘭,作曲
"Bergmann, Carl","貝爾格曼,卡爾",1821-1876,德國,指揮；大提琴
"Bergonzi, Carlo",貝爾貢齊,1924-,義大利,聲樂
"Bergsma, William",貝格斯瑪,1921-1994,美國,作曲
"Beringer, Oscar",貝林格,1844-1922,德國,鋼琴
"Berio, Luciano","貝里歐,路奇阿諾",1925-2003,義大利,作曲
"B?riot, Charles-Auguste de","貝里歐,奧古斯特",1802-1870,比利時,小提琴；作曲
"Beriot, Charles-Wilfrid","貝里歐,維弗利",1833-1914,法國,作曲；鋼琴
"Berkeley, Lennox","柏克萊,雷諾斯",1903-1989,英國,作曲
"Berkeley, Michae","柏克萊,麥可",1948-,英國,作曲
"Berlin, Boris","伯林,玻利斯",1907-2001,俄國,鋼琴教師；作曲
"Berlin, Irving","伯林,歐文",1888-1989,美國,作曲
"Berlinski, Herman",伯林斯基,1910-2004,美國,作曲
"Berlioz, Hector",白遼士,1803-1869,法國,作曲；指揮
"Berman, Bart","貝爾曼,巴特",1938-,以色列,鋼琴
"Berman, Karel","貝爾曼,卡爾",1919-1995,捷克,作曲
"Berman, Lazar","貝爾曼,拉札",1930-2005,俄國,鋼琴
"Bermudo, Juan",貝爾穆多,ca.1510-ca.1565,西班牙,理論；作曲
"Bernac, Pierre",貝納克,1899-1979,法國,聲樂
"Bernal-Jim?nez, Miguel",貝爾納－希梅內士,1910-1956,墨西哥,作曲
"Bernaola, Carmelo Alonso",貝爾瑙拉,1929-2002,西班牙,作曲
"Bernard, Anthony",貝納德,1891-1963,英國,管風琴；鋼琴；指揮
"Bernardi, Mario",貝納迪,1930-,加拿大,指揮；鋼琴
"Bernasconi, Antonia",貝娜斯科妮,ca.1741-1803,義大利,聲樂
"Bernathova, Eva",貝娜托娃,1922-,匈牙利,鋼琴
"Bernier, Rene",貝尼爾,1905-1984,比利時,作曲
"Bernofsky, Lauren",貝諾夫斯基,1967-,美國,作曲
"Bernstein, Elmer","伯恩斯坦,艾默",1922-2004,美國,作曲
"Bernstein, Leonard","伯恩斯坦,雷歐納德",1918-1990,美國,作曲；指揮；鋼琴
"Beroff, Michel",貝洛夫,1950-,法國,鋼琴
"Berry, Charles Roland","貝里,查理士‧羅蘭",1957-,美國,作曲
"Berry, Walter","貝里,華爾特",1929-2000,奧地利,聲樂
"Berte, Heinrich","貝爾特,海因利希",1857-1924,匈牙利,鋼琴
"Bertel, Jean-Luc","貝爾特,珍－路克",1955-,比利時,作曲
"Bertin, Louise Angelique",貝坦,1805-1877,法國,鋼琴；作曲
"Bertini, Gary","貝提尼,蓋瑞",1927-,以色列,作曲；指揮
"Bertini, Henri J?r?me","貝提尼,亨利",1798-1876,法國,鋼琴；作曲
"Bertocchi, Frederico",貝托吉,1824-1892,義大利,作曲
"Berton, Henri-Montan",貝爾通,1767-1844,法國,小提琴；作曲
"Bertoni, Gioseffo Ferdinando",貝托尼,1725-1813,義大利,作曲
"Berutti, Arturo",貝魯悌,1862-1938,阿根廷,作曲
"Berwald, Franz","貝華德,弗朗茲",1796-1868,瑞典,小提琴；作曲
"Berwald, Johan Fredrik","貝華德,約翰",1787-1861,瑞典,指揮；小提琴
"Berwald, Johan Fredrik","貝華德,約翰",1787-1861,瑞典,作曲
"Besson, Gustave Auguste",貝松,1820-1875,法國,管樂器
"Best, William Thomas",貝斯特,1826-1897,英國,管風琴
"Betti, Adolfo",貝悌,1875-1905,義大利,小提琴
"Betz, Franz",貝次,1835-1900,德國,聲樂
"Bevignani, Enrico",貝維納尼,1841-1903,義大利,指揮；作曲
"Bexfield, William Richard",貝克費德,1824-1853,英國,管風琴；作曲
"Beydts, Louis",貝依特,1895-1953,法國,作曲
"Beyer, Ferdinand",拜爾,1803-1863,德國,鋼琴；作曲
"Beyschlag, Adolf",貝希拉格,1845-1914,德國,指揮；作曲
"Bezekirsky, Vasily",貝采奇斯基,1835-1919,俄國,小提琴；作曲
"Biales, Albert",畢亞雷斯,1929-,美國,作曲
"Bianchardus(Bianciardi, Bianciartus), Francesco",畢安查都斯,1570-1607,義大利,作曲
"Bianchi, Francesco",畢安吉,1752-1810,義大利,作曲
"Biancolli, Louis Leopold",畢安科利,1907-,美國,音樂著作
"Biarent, Adolphe",畢亞隆,1871-1916,比利時,作曲
"Biber, Heinrich Ignaz Franz von",畢伯,1644-1704,捷克,小提琴；作曲
"Bibl, Rudolf",畢伯,1832-1902,奧地利,作曲
"Bible, Frances",拜伯,1919-2001,美國,聲樂
"Biehl, Albert",畢爾,1836-1899,德國,作曲
"Biene, Auguste van","畢內,奧古斯特",1850-1913,荷蘭,大提琴
"Bierdiajew, Walerian",畢爾迪亞傑夫,1885-1956,波蘭,指揮
"Biggs, E.Power","畢格斯,鮑爾",1906-1977,美國,管風琴
"Biggs, John","畢格斯,約翰",1932-,美國,作曲
"Bigot, Eug?ne",畢戈,1888-1965,法國,指揮
"Bihari, Janos",畢哈利,1764-1827,匈牙利,小提琴；作曲
"Billings, William",畢林斯,1746-1800,美國,作曲
"Billington, Elizabeth",畢林頓,1765-1818,英國,聲樂
"Binchois, Gilles de",班舒瓦,ca.1400-1460,法國,作曲
"Binet, Jean","畢內,珍",1893-1960,瑞士,作曲
"Binge, Ronald",賓吉,1910-1979,英國,作曲
"Bingen, Hildegard von",賓根,1098-1179,德國,作曲
"Bingham, Seth",賓漢,1882-1972,美國,作曲
"Binkerd, Gordon",賓克德,1916-2003,美國,作曲
"Binns, Malcolm",賓斯,1936-,英國,鋼琴
"Bird, Arthur",伯爾德,1856-1923,美國,作曲
"Birtwistle, Harrison[Paul]",伯惠斯特,1934-,英國,作曲；單雙管
"Bishop, Henry R.","畢夏普,亨利",1786-1855,英國,作曲
"Bishop-Kovacevich, Stephen",畢夏普－柯瓦賽維奇,1940-,美國,鋼琴
"Bispham, David",畢思凡,1857-1921,美國,聲樂
"Bittner, ulius",畢特內爾,1874-1939,奧地利,作曲
"Bizet, Georges",比才,1838-1875,法國,鋼琴；作曲
"Bizony, Celia",畢佐尼,1904-1987,德國,作曲
"Bjoner, Ingrid",畢悠納,1927-,挪威,聲樂
"Bj?rling, Jussi","畢悠林,朱西",1911-1960,瑞典,聲樂
"Bjorling, Sigurd","畢悠林,西戈爾德",1907-1983,瑞典,聲樂
"Bj?rklund, Terje",畢悠克隆,1945-,挪威,作曲
"Blacher, Boris",布拉赫爾,1903-1975,德國,作曲；
"Blachut, Beno",布拉胡特,1913-1985,捷克,聲樂
"Black, Neil",布萊克,1932-,英國,雙簧管
"Blackford, Richard",布萊克福特,1954-,英國,作曲；指揮
"Blackham, Joyce",布萊克涵,1934-,英國,聲樂
"Blackshaw, Christian",布萊克蕭,1949-,英國,鋼琴
"Blaes, Arnold Joseph",布萊斯,1814-1872,比利時,單簧管
"Blagrove, Henry",布萊葛洛夫,1811-1872,英國,小提琴
"Blake, David",布雷克,1936-,英國,作曲
"Blanck, Hubert de","布蘭克,赫伯特‧德",1856-1932,荷蘭,指揮；教育；作曲
"Blank, Stanley","布蘭克,史坦利",1913-,英國,鋼琴；指揮
"Blardony, Sergio",布拉多尼,1965-,西班牙,作曲
"Blau, Andreas",布勞,1949-,德國,長笛
"Blauvelt, Lillian",布勞芙特,1874-1947,美國,聲樂
"Blavet, Michel",布拉維,1700-1768,法國,作曲；長笛
"Blech, Harry",布萊奇,1910-1999,英國,小提琴；指揮
"Blech, Leo",布萊希,1871-1958,德國,指揮；作曲
"Blegen, Judith",布蕾根,1941-,美國,聲樂
"Bliss, Arthur",布利斯,1891-1975,英國,作曲
"Blitzstein, Marc",布利次斯坦,1905-1964,美國,鋼琴；作曲
"Bloch, Andr?","布洛赫,安德列",1873-1960,法國,作曲
"Bloch, Ernest","布洛赫,厄內斯特",1880-1959,美國,作曲
"Blockx, Jan",布洛克斯,1851-1912,比利時,作曲
"Blodek, Vil?m",布羅德克,1834-1874,捷克,作曲
"Blom, Eric Walter",布隆,1888-1959,英國,音樂學
"Blomdahl, Karl-Birger",布隆達爾,1916-1968,瑞典,指揮；作曲
"Bloomer Deussen, Nancy",布隆默德森,1931-,美國,作曲
"Blow, John",布勞,1649-1708,英國,作曲
"Blume, Friedrich",布魯摩,1893-1975,德國,音樂
"Blumenfeld, Felix",布魯門菲德,1863-1931,俄國,鋼琴；作曲；指揮
"Blumenthaler, Volker",布魯門塔勒,1951-,德國,作曲
"Blyton, Carey",布萊頓,1932-,英國,作曲
"Boatwright, Howard",玻特萊特,1918-,美國,作曲
"Boccherini, Luigi",玻凱利尼,1743-1805,義大利,作曲；大提琴
"Bochmann, Christopher",玻克曼,1950-,英國,作曲
"Bochsa, Nicolas-Charles",玻克沙,1789-1856,法國,豎琴；作曲
"Bockelmann, Rudolf",玻克爾曼,1890-1958,德國,聲樂
"Bodanzky, Artur",玻旦茲基,1877-1939,奧地利,指揮
"Bode, Johann Joachim Christoph",玻德,1730-1793,德國,雙簧管；作曲
"Bodley, Se?irse",玻德雷,1933-,愛爾蘭,作曲
"Bodorov?, Silvie",玻朵洛娃,1954-,德國,作曲
"Boeck, Auguste de",玻克,1865-1937,比利時,作曲
"Boeck, Auguste de",伯克,1865-1937,比利時,作曲
"Boehm(B?hm), Georg","貝姆,蓋歐格",1661-1733,德國,管風琴
"Boehm(B?hm), Joseph","貝姆,約瑟夫",1795-1876,匈牙利,小提琴
"Boehm(B?hm), Karl","貝姆,卡爾",1894-1981,奧地利,指揮；鋼琴；作曲
"Boehm(B?hm), Theobald","貝姆,泰歐巴德",1793-1881,德國,長笛；樂器製造；作曲
"Boehmer, Konrad",貝默,1941-,德國,作曲
"Bo?llmann, L?on",玻耶爾曼,1862-1897,法國,作曲
"Boelter, Karl",貝爾特,1952-,美國,作曲
"Bo?ly, Alexandre Pierre Fran?ois",玻耶利,1785-1858,法國,管風琴
"Boepple, Paul",貝普勒,1896-1970,美國,合唱指揮；教育
"Boero, Felipe",玻耶洛,1884-1954,阿根廷,作曲
"Boesmans, Philippe",玻士曼,1936-,比利時,作曲
"Boettcher, Wilfried",玻特契爾,1929-1994,德國,指揮；大提琴
"Bogatyryov, Anatoly",玻加悌留夫,1913-,俄國,作曲
"Bogtman, Laurens Albertus",玻格特曼,1900-1969,荷蘭,聲樂
"B?he, Ernst",貝埃,1880-1938,德國,作曲
"Bohme, Kurt",玻摩,1908-1989,德國,聲樂
"Bohnen, Michael",玻能,1887-1965,德國,聲樂
"Bohnke, Emil",玻恩克,1888-1928,波蘭,作曲
"Boieldieu, Fran?ois-Adrien",玻伊迪歐,1775-1834,法國,作曲
"Boisdeffre, Charles Henri de",玻瓦德福爾,1838-1906,法國,作曲
"Boismortier, Joseph Bodin de",玻瓦莫提耶,1689-1755,法國,作曲
"Boito, Arrigo (Enrico)",玻伊多,1842-1918,義大利,作曲；詩人
"Bok, Milo?",伯克,1968-,捷克,作曲
"Bolcom, William (Elden)",玻爾康,1938-,美國,鋼琴
"Bolet, Jorge",玻列,1914-1990,美國,鋼琴
"Bolling, Claude",玻琳,1930-,法國,作曲；鋼琴；指揮
"Bomtempo, Jo?o Domingos",邦田波,1775-1842,葡萄牙,鋼琴；作曲
"Bon (di Venezia), Anna","玻恩,安娜",1740-?,義大利,作曲
"Bon, Maarten","玻恩,馬爾騰",1933-2003,荷蘭,作曲
"Bon, Willem Frederik","玻恩,威廉‧弗里德利克",1940-1983,荷蘭,作曲
"Bonavia, Ferruccio",玻那維亞,1877-1950,義大利,音樂著作；作曲；小提琴
"Bonci, Alessandro",玻恩奇,1870-1940,義大利,聲樂
"Bond, Capel","邦德,卡佩爾",1730-1790,英國,作曲
"Bond, Carrie Jacobs","邦德,卡利雅各",1862-1946,美國,作曲
"Bondon, Jacques",邦東,1927-,法國,作曲
"Bondue, Yves",邦第,1966-,比利時,作曲
"Bonello, Anthony",玻內羅,1970-,馬爾他,作曲
"Bonhomme, Jean",邦諾摩,1937-,加拿大,聲樂
"Bonis, M?lanie",玻妮,1858-1937,法國,作曲
"Bonner, Eugene MacDonald",玻納,1889-1983,美國,作曲
"Bonnet, Joseph",邦內,1884-1944,法國,管風琴；作曲
"Bonnoncini, Giovanni","玻農契尼,喬望尼",1670-1747,義大利,作曲；大提琴
"Bononcini, Antonio Maria","玻農契尼,安東尼歐‧馬利亞",1677-1726,義大利,作曲
"Bonporti, Francesco Antonio",邦波爾悌,1672-1749,義大利,作曲
"Bonsor, James Brian",邦索爾,1926-,英國（蘇格蘭）,作曲
"Bonynge, Richard",玻寧吉,1930-,澳大利亞,鋼琴；指揮
"Boone, Octaaf",玻內,1923-2002,比利時,作曲
"Booren, Jo Van den",玻倫,1935-,荷蘭,小號；作曲
"Bordes, Charles",玻爾德,1863-1909,法國,合唱指揮；作曲
"Bordoni, Faustina",玻爾多尼,1700-1781,義大利,聲樂
"Borek, Krzysztof",玻瑞克,?-ca.1570,波蘭,作曲
"Borg, Kim","玻爾格,金",1919-2000,芬蘭,聲樂；作曲
"Borgatti, Giuseppe",玻爾加第,1871-1950,義大利,聲樂
"Borge, Victor","玻爾格,維克特",1909-2000,美國,鋼琴
